文件號碼,保險人姓名,註冊地點,業務類型,主要在香港業務,聯絡電話,傳真號碼,官方網站地址,電郵地址,注冊登記,
2264119,富邦人壽保險(香港)有限公司,中國香港,長期,香港太古城太古灣道12號3樓301-303室,2516 0111,2516 0199,www.fubonlife.com.hk,csservice.hk.life@fubon.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/2264119.pdf,
982131,富衛保險有限公司,中國香港,一般,香港德輔道中308號富衛金融中心9樓,2850 3030,2850 3031,www.fwd.com.hk,gi.enquiry.hk@fwd.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/982131.pdf,
F3114,富衛人壽保險(百慕達)有限公司,百慕達,長期,香港中環德輔道中308號富衛金融中心28樓,2850 2333,2850 3999,www.fwd.com.hk,cs.hk@fwd.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F3114.pdf,
F5720,GAN Assurances,法國,一般,香港灣仔軒尼詩道289-295號朱鈞記商業中心20樓,2530 0288,2877 4281,www.groupama.com.hk,general.info@groupama.com.hk,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F5720.pdf,
F15575,Gard Marine & Energy Limited,百慕達,一般,香港中環雲咸街六十號中央廣場三十樓三OO三B室,2901 8688,2869 1645,www.gard.no,limy.leung@gard.no<br>marie.tam@gard.no<br>mark.russell@gard.no,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F15575.pdf,
F3960,General Reinsurance AG,德國,綜合 (R),香港灣仔港灣道18號中環廣場68樓6802-3室,2598 2388,2598 2390,www.genre.com,orchis.li@genre.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F3960.pdf,
2300485,忠意人壽(香港)有限公司,中國香港,長期,香港太古城英皇道1111號太古城中心一期21樓,2521 0707,2521 8018,www.generali.com.hk,info@generali.com.hk,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/2300485.pdf,
11095,恒生保險有限公司,中國香港,綜合,香港旺角亞皆老街113號恒生113 28樓,2288 6699,3409 1284,www.hangseng.com,---,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/11095.pdf,
37216,恒生人壽保險有限公司,中國香港,長期,香港中環德輔道中83號,2288 6699,---,www.hangseng.com,---,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/37216.pdf,
F9527,Hannover Rück SE,德國,綜合 (R),香港灣仔港灣道30號新鴻基中心20樓<br>2008室,2519 3208,2588 1136,www.hannover-re.com,general@hannover-re.com.hk,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F9527.pdf,
F15256,HDI Global SE,德國,一般,香港灣仔港灣道18號中環廣場5202室,2598 8338,2898 8838,www.hdi.global/de/en,---,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F15256.pdf,
66984,安興保險有限公司<br>(在臨時清盤中),中國香港,一般,---,---,---,---,---,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/66984.pdf,
2797,澳洲興業保險有限公司<br>(在臨時清盤中),中國香港,一般,---,---,---,---,---,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/2797.pdf,
2550660,香港年金有限公司,中國香港,長期,香港皇后大道中183號新紀元廣場中遠大廈(高座)34樓,2929 0188,2929 0100,---,cs@hkmca.hk,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/2550660.pdf,
2550659,香港按證保險有限公司,中國香港,一般,香港皇后大道中183號新紀元廣場中遠大廈(高座)34樓,2536 0085,2536 0480,www.hkmc.com.hk,mip_enquiry@hkmci.hk<br>rm_enquiry@hkmci.hk<br>plis_enquiry@hkmci.hk<br>sfgs_enquiry@hkmci.hk,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/2550659.pdf,
708790,香港人壽保險有限公司,中國香港,長期,香港皇后大道中183號中遠大廈15樓,2290 2888,2530 5682,www.hklife.com.hk,info@hklife.com.hk,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/708790.pdf,
32621,豐隆保險(亞洲)有限公司,中國香港,一般,香港北角英皇道510號港運大廈8樓807-10室,2230 9900,2868 0129,www.hl-insurance.com,general@hl-insurance.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/32621.pdf,
51759,滙豐保險(亞洲)有限公司,中國香港,綜合,香港九龍深旺道一號滙豐中心一座十八樓,2288 6688,3409 1155,www.insurance.asiapacific.hsbc.com,---,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/51759.pdf,
F2521,HSBC Life (International) Limited,百慕達,長期,香港九龍深旺道一號滙豐中心一座十八樓,2288 6622,3409 1166,www.hsbc.com.hk,---,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F2521.pdf,
35496,利寶國際保險有限公司,中國香港,綜合,香港鰂魚涌華蘭路25號栢克大厦13樓,2892 3888,2803 5011,www.libertyinsurance.com.hk,admin@libertymutual.com.hk,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/35496.pdf,
2400200,Liberty Specialty Markets Hong Kong Limited,中國香港,一般,香港英皇道1111號太古城中心1期24樓2401-04室,3655 2600,3655 2699,www.libertyspecialtymarkets.com.hk,eddie.young@libertyglobalgroup.com<br>hongkong@libertyglobalgroup.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/2400200.pdf,
A31,Lloyd's,英國,綜合,香港銅鑼灣新寧道1號利園三期5樓529室,2918 9911,2918 9918,www.lloyds.com,Thomas.Haddrill@lloyds.com<br>iris.cheung@lloyds.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/A31.pdf,
F3005,London Steam-Ship Owners' Mutual Insurance Association Limited - The,英國,一般,香港灣仔愛群道32號愛群商業大廈1802室,3761 5678,2838 2001,www.lsso.com,hongkong@londonpandi.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F3005.pdf,
F30,Manufacturers Life Insurance Company - The,加拿大,長期,九龍觀塘偉業街223-231號宏利金融中心22樓,2510 5600,2510 0246,www.manulife.com.hk,service_hk@manulife.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F30.pdf,
F3218,宏利人壽保險(國際)有限公司,百慕達,長期,九龍觀塘偉業街223-231號宏利金融中心22樓,2510 5600,2510 0246,www.manulife.com.hk,service_hk@manulife.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F3218.pdf,
F3850,Massachusetts Mutual Life Insurance Company,美國,長期,---,(1) 800- 767-1000,(1) 413- 744-6114 <br> (1) 413- 744-6279,www.massmutual.com,webmaster@massmutual.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F3850.pdf,
F2952,Münchener Rückversicherungs-Gesellschaft (Munich Reinsurance Company),德國,綜合 (R),香港中環紅棉路八號東昌大廈十一樓,2536 6900,2810 6544,www.munichre.com,hongkong@munichre.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F2952.pdf,
763696,大都會人壽保險有限公司,中國香港,長期,香港九龍紅磡德豐街18號海濱廣場一座21樓2101,2104-11室,2199 1000,3409 8609,www.metlife.com.hk,customerservices@metlife.com.hk,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/763696.pdf
60528,美商大都會人壽保險香港有限公司,中國香港,長期,香港九龍紅磡德豐街18號海濱廣場一座21樓2101,2104-11室,2199 1000,3409 8609,www.metlife.com.hk,customerservices@metlife.com.hk,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/60528.pdf
37517,閩信保險有限公司,中國香港,一般,香港中環紅棉路8路東昌大廈17樓,2521 5671,2526 7364,www.mxic.com.hk,mxic@mxic.com.hk,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/37517.pdf,
921399,三井住友海上火災保險(香港)有限公司,中國香港,一般,香港太古城英皇道1111號太古城中心<br>第一期9樓,3122 6822,2969 4600,www.msig.com.hk,hk_hotline@hk.msig-asia.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/921399.pdf,
F349,New India Assurance Company, Limited - The,印度,一般,香港中環雲咸街15-17號萬祥大廈六樓,2522 4195,2845 2133,www.newindiahk.com,info@newindiahk.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F349.pdf
F3345,Old Mutual International Isle of Man Limited,馬恩島,長期,香港銅鑼灣希慎道33號利園一期37樓3704室,3552 5888,3552 5889,www.oldmutualinternational.com/hk,askhk@ominternational.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F3345.pdf,
F6648,Old Mutual Life Assurance Company (South Africa) Limited,南非,長期,香港銅鑼灣希慎道33號利園一期37樓3704室,3552 5902,2530 0023,www.oldmutual.com,contact@omhk.com.hk,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F6648.pdf,
6084,太平洋保險有限公司,中國香港,一般,香港灣仔皇后大道東43-59號東美中心<br>10字樓,2876 0000,2876 0111,www.pacificinsurance.com.hk,pichk@pacificgroup.com.hk,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/6084.pdf,
5909,太平洋人壽保險有限公司,中國香港,長期,香港灣仔皇后大道東43-59號東美中心<br>10樓,2876 0880,2876 0678,www.pacificlife.com.hk,plahk@pacificgroup.com.hk,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/5909.pdf,
2866,寶豐保險(香港)有限公司,中國香港,一般,香港九龍觀塘巧明街100號 Two Landmark East 28樓,2290 3580,2626 0704,---,sammy.wong@shacombank.com.hk,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/2866.pdf,
F18305,Partner Reinsurance Europe SE,愛爾蘭<br>共和國,綜合 (R),香港灣仔港灣道30號新鴻基中心3837室,2598 8813,2598 0886,www.partnerre.com,carman.pang@partnerre.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F18305.pdf,
1531647,鼎睿再保險有限公司,中國香港,綜合 (R),香港中環花園道3號中國工商銀行大廈<br>2107-11室,3509 6666,3509 6668,www.peak-re.com,info@peak-re.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/1531647.pdf,
22811,中國人民保險(香港)有限公司,中國香港,一般,香港干諾道中148號粤海投資大廈15字樓,2979 2000,2540 6260,www.picchk.com,enquiry@picchk.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/22811.pdf,
F14409,Phoenix Life Limited,英國,長期,香港中環康樂廣場一號怡和大廈四十六樓四六零三至四六零九室,2901 7329,2845 2125,www.phoenixlife.co.uk,leo.nuttall@thephoenixgroup.com,https://www.ia.org.hk/tc/supervision/reg_insurers_lloyd/files/F14409.pdf,
